9.595105280000000000e+08,3.120265600000000000e+08,1.750558880000000000e+08,1.343659200000000000e+08,2.350963840000000000e+08,8.266485600000000000e+07,3.503214500000000000e+06,5.552290000000000000e+05,-9.736043000000000000e+06,7.549800800000000000e+07,3.042366000000000000e+07,-1.009305900000000000e+07,-3.842911200000000000e+07,-2.652666200000000000e+07,-1.365062560000000000e+08,-1.344687680000000000e+08,-2.575182200000000000e+07,-1.781062080000000000e+08,-2.469350080000000000e+08,-2.005479040000000000e+08,-1.790051360000000000e+08,-1.043001040000000000e+08,2.603435000000000000e+06,-1.340554880000000000e+08,-1.838473920000000000e+08,-1.234318560000000000e+08,-2.232809280000000000e+08,-2.805333440000000000e+08
3.120265600000000000e+08,1.131599744000000000e+09,1.335418720000000000e+08,4.147277200000000000e+07,5.992922880000000000e+08,-8.130772000000000000e+07,-1.845933280000000000e+08,-1.051199360000000000e+08,9.200446000000000000e+06,1.953999520000000000e+08,4.425766400000000000e+07,4.669708400000000000e+07,-1.649096000000000000e+08,1.050256640000000000e+08,-2.993647040000000000e+08,-2.837563520000000000e+08,9.651040000000000000e+07,-3.999209600000000000e+08,-3.574018560000000000e+08,-2.187754400000000000e+08,-2.064164000000000000e+08,-7.561321600000000000e+07,2.710807040000000000e+08,-1.381982720000000000e+08,-2.602262080000000000e+08,-5.426647600000000000e+07,1.216260000000000000e+06,-4.134055040000000000e+08
1.750558880000000000e+08,1.335418720000000000e+08,8.994097280000000000e+08,2.575407200000000000e+08,3.780639600000000000e+07,1.249740800000000000e+08,8.574722400000000000e+07,5.749127200000000000e+07,4.481787200000000000e+07,-4.949319600000000000e+07,-8.101000500000000000e+06,-5.754606800000000000e+07,6.884132500000000000e+06,-7.682947200000000000e+07,1.841605500000000000e+06,-3.350207200000000000e+07,-1.243307520000000000e+08,-1.078997400000000000e+07,-6.877230400000000000e+07,-1.458564480000000000e+08,-1.043430240000000000e+08,-1.537032640000000000e+08,-2.421106240000000000e+08,-1.339359440000000000e+08,-1.436525760000000000e+08,-2.061415840000000000e+08,-2.181240320000000000e+08,-1.547442080000000000e+08
1.343659200000000000e+08,4.147277200000000000e+07,2.575407200000000000e+08,1.007293184000000000e+09,-4.245297000000000000e+06,1.473641280000000000e+08,1.312558320000000000e+08,4.618250000000000000e+07,9.274874400000000000e+07,-5.287011600000000000e+07,-1.269257600000000000e+07,-6.581841600000000000e+07,-1.255136300000000000e+07,-1.179100400000000000e+08,-1.835378400000000000e+07,-2.032960400000000000e+07,-9.038224000000000000e+07,3.959958800000000000e+07,-4.091554400000000000e+07,-1.412805440000000000e+08,-8.561362400000000000e+07,-1.448098400000000000e+08,-2.903906880000000000e+08,-1.342851680000000000e+08,-1.464971360000000000e+08,-1.812438240000000000e+08,-2.578665120000000000e+08,-1.567444160000000000e+08
2.350963840000000000e+08,5.992922880000000000e+08,3.780639600000000000e+07,-4.245297000000000000e+06,2.236684032000000000e+09,-4.610528800000000000e+07,-2.827706880000000000e+08,-2.295816320000000000e+08,-1.689749600000000000e+07,3.768026880000000000e+08,4.946083600000000000e+07,8.984289600000000000e+07,-3.278414720000000000e+08,2.992799360000000000e+08,-5.101244800000000000e+08,-4.515961600000000000e+08,2.060840960000000000e+08,-6.704463360000000000e+08,-5.051478720000000000e+08,-3.400154240000000000e+08,-3.241221440000000000e+08,-8.468612800000000000e+07,6.870083840000000000e+08,-2.531364800000000000e+08,-4.553020800000000000e+08,-4.203306400000000000e+07,1.148019680000000000e+08,-6.364579200000000000e+08
8.266485600000000000e+07,-8.130772000000000000e+07,1.249740800000000000e+08,1.473641280000000000e+08,-4.610528800000000000e+07,1.218776704000000000e+09,3.872931200000000000e+08,2.283375200000000000e+08,3.343264400000000000e+07,-1.371234080000000000e+08,-1.035801120000000000e+08,-2.078094400000000000e+08,1.039868300000000000e+07,-1.653141760000000000e+08,1.131815360000000000e+08,3.048497800000000000e+07,-2.691965440000000000e+08,2.265210400000000000e+08,6.044243200000000000e+07,-4.273744000000000000e+07,-1.143769280000000000e+08,-2.321621600000000000e+08,-3.761958080000000000e+08,-3.603933600000000000e+07,-7.476481600000000000e+07,-3.397325760000000000e+08,-4.058602880000000000e+08,-4.168748000000000000e+07
3.503214500000000000e+06,-1.845933280000000000e+08,8.574722400000000000e+07,1.312558320000000000e+08,-2.827706880000000000e+08,3.872931200000000000e+08,1.049579072000000000e+09,3.028574080000000000e+08,6.777144800000000000e+07,-1.539988960000000000e+08,-9.271080000000000000e+07,-1.583569120000000000e+08,1.382271400000000000e+07,-1.549485120000000000e+08,1.609673760000000000e+08,1.362643680000000000e+08,-2.860116480000000000e+08,2.245453280000000000e+08,1.784082400000000000e+08,-1.936985500000000000e+06,-5.217342000000000000e+07,-2.050112800000000000e+08,-4.783956480000000000e+08,-8.002572800000000000e+07,-2.002994400000000000e+07,-2.465289600000000000e+08,-3.076137920000000000e+08,6.092540800000000000e+07
5.552290000000000000e+05,-1.051199360000000000e+08,5.749127200000000000e+07,4.618250000000000000e+07,-2.295816320000000000e+08,2.283375200000000000e+08,3.028574080000000000e+08,9.020643200000000000e+08,1.316614880000000000e+08,-3.827720000000000000e+07,-5.870886000000000000e+07,-9.522012000000000000e+07,-1.957279500000000000e+06,-1.068528400000000000e+08,9.488044000000000000e+07,6.913652800000000000e+07,-1.745779040000000000e+08,8.331947200000000000e+07,6.037926000000000000e+07,-2.027162000000000000e+07,-2.650183600000000000e+07,-1.468620960000000000e+08,-3.459684480000000000e+08,-7.415819200000000000e+07,-4.578502400000000000e+07,-1.760740960000000000e+08,-2.613006720000000000e+08,-1.424955000000000000e+07
-9.736043000000000000e+06,9.200446000000000000e+06,4.481787200000000000e+07,9.274874400000000000e+07,-1.689749600000000000e+07,3.343264400000000000e+07,6.777144800000000000e+07,1.316614880000000000e+08,8.290865920000000000e+08,1.463111840000000000e+08,5.790495200000000000e+07,-1.422694400000000000e+07,-5.581047600000000000e+07,-6.102219600000000000e+07,-7.260701600000000000e+07,-7.005836000000000000e+07,-8.523580000000000000e+06,-6.629959600000000000e+07,-7.876338400000000000e+07,-7.723475200000000000e+07,-4.688433200000000000e+07,-1.027245600000000000e+08,-1.485359680000000000e+08,-1.116321840000000000e+08,-9.903058400000000000e+07,-1.040771360000000000e+08,-1.369222400000000000e+08,-1.652043520000000000e+08
7.549800800000000000e+07,1.953999520000000000e+08,-4.949319600000000000e+07,-5.287011600000000000e+07,3.768026880000000000e+08,-1.371234080000000000e+08,-1.539988960000000000e+08,-3.827720000000000000e+07,1.463111840000000000e+08,9.610748800000000000e+08,1.290200560000000000e+08,1.174350800000000000e+08,-1.123034480000000000e+08,7.426972000000000000e+07,-2.460947200000000000e+08,-2.455024640000000000e+08,1.312576720000000000e+08,-3.252420480000000000e+08,-2.652603360000000000e+08,-1.635356480000000000e+08,-1.411628800000000000e+08,-3.581167500000000000e+06,2.056467200000000000e+08,-1.120171360000000000e+08,-1.787887520000000000e+08,1.232494700000000000e+07,6.083075000000000000e+06,-2.904988160000000000e+08
3.042366000000000000e+07,4.425766400000000000e+07,-8.101000500000000000e+06,-1.269257600000000000e+07,4.946083600000000000e+07,-1.035801120000000000e+08,-9.271080000000000000e+07,-5.870886000000000000e+07,5.790495200000000000e+07,1.290200560000000000e+08,7.543954560000000000e+08,1.123661920000000000e+08,5.916575000000000000e+06,2.637190500000000000e+06,-1.081853760000000000e+08,-6.084765200000000000e+07,2.667753000000000000e+07,-1.050703120000000000e+08,-1.598194240000000000e+08,-8.897498400000000000e+07,-7.049808000000000000e+07,-2.736424800000000000e+07,9.960427000000000000e+06,-5.697404000000000000e+07,-7.938590400000000000e+07,-3.306902800000000000e+07,-2.857169000000000000e+07,-1.583875680000000000e+08
-1.009305900000000000e+07,4.669708400000000000e+07,-5.754606800000000000e+07,-6.581841600000000000e+07,8.984289600000000000e+07,-2.078094400000000000e+08,-1.583569120000000000e+08,-9.522012000000000000e+07,-1.422694400000000000e+07,1.174350800000000000e+08,1.123661920000000000e+08,9.099768960000000000e+08,-3.254803000000000000e+06,5.649606400000000000e+07,-1.367739360000000000e+08,-1.310263840000000000e+08,4.414856400000000000e+07,-1.913291200000000000e+08,-1.752339360000000000e+08,-1.107339280000000000e+08,-6.241495200000000000e+07,7.015800000000000000e+06,7.669010400000000000e+07,-5.066720000000000000e+07,-4.152161600000000000e+07,7.680822400000000000e+07,5.554859200000000000e+07,-1.079071760000000000e+08
-3.842911200000000000e+07,-1.649096000000000000e+08,6.884132500000000000e+06,-1.255136300000000000e+07,-3.278414720000000000e+08,1.039868300000000000e+07,1.382271400000000000e+07,-1.957279500000000000e+06,-5.581047600000000000e+07,-1.123034480000000000e+08,5.916575000000000000e+06,-3.254803000000000000e+06,8.501583360000000000e+08,-3.948411200000000000e+07,1.499605440000000000e+08,9.667828800000000000e+07,-9.884673600000000000e+07,1.218925920000000000e+08,5.873046000000000000e+07,3.130399600000000000e+07,-7.382608500000000000e+06,-1.981566800000000000e+07,-2.336640640000000000e+08,2.643293200000000000e+07,4.156949600000000000e+07,-9.133031200000000000e+07,-1.767199680000000000e+08,5.603782000000000000e+07
